order_id,order_date,customer,category,region,quantity,unit_price,total_sales
1001,2024-01-05,Acme Corp,Electronics,East,3,120.00,360.00
1002,2024-01-12,Beta LLC,Furniture,West,1,450.00,450.00
1003,2024-01-18,Acme Corp,Electronics,East,2,120.00,240.00
1004,2024-01-25,Gamma Inc,Office Supplies,South,10,8.50,85.00
1005,2024-02-02,Delta Co,Electronics,West,1,999.00,999.00
1006,2024-02-09,Beta LLC,Furniture,West,2,450.00,900.00
1007,2024-02-14,Epsilon Ltd,Office Supplies,North,15,8.50,127.50
1008,2024-02-20,Acme Corp,Electronics,East,,120.00,
1009,2024-03-01,Gamma Inc,Furniture,South,1,600.00,600.00
1010,2024-03-08,Delta Co,Electronics,West,3,999.00,2997.00
1011,2024-03-15,Zeta Group,Office Supplies,North,20,8.50,170.00
1012,2024-03-22,Epsilon Ltd,Electronics,North,1,120.00,120.00
1013,2024-04-03,Beta LLC,Office Supplies,West,5,8.50,42.50
1014,2024-04-11,Acme Corp,Furniture,East,2,450.00,900.00
1015,2024-04-19,Zeta Group,Electronics,North,4,120.00,480.00
1016,2024-04-27,Gamma Inc,Electronics,South,1,999.00,999.00
1017,2024-05-05,Delta Co,Furniture,West,1,450.00,450.00
1018,2024-05-14,Epsilon Ltd,Office Supplies,North,12,8.50,102.00
1019,2024-05-22,Beta LLC,Electronics,West,2,120.00,240.00
1020,2024-05-30,Zeta Group,Furniture,North,,600.00,
